,0
951,ENSG00000115459
952,ENSG00000108515
953,ENSG00000184465
954,ENSG00000004777
955,ENSG00000130518
956,ENSG00000162924
957,ENSG00000119973
958,ENSG00000171617
959,ENSG00000065526
960,ENSG00000128272
961,ENSG00000182255
962,ENSG00000166716
963,ENSG00000072518
964,ENSG00000003989
965,ENSG00000023839
966,ENSG00000120549
967,ENSG00000059728
968,ENSG00000130758
969,ENSG00000122432
970,ENSG00000119630
971,ENSG00000166949
972,ENSG00000149451
973,ENSG00000215788
974,ENSG00000109063
975,ENSG00000168234
976,ENSG00000197580
977,ENSG00000162692
978,ENSG00000126778
979,ENSG00000198355
980,ENSG00000066382
981,ENSG00000177105
982,ENSG00000064393
983,ENSG00000186625
984,ENSG00000088827
985,ENSG00000171608
986,ENSG00000185345
987,ENSG00000198742
988,ENSG00000189325
989,ENSG00000122643
990,ENSG00000205269
991,ENSG00000168828
992,ENSG00000101096
993,ENSG00000100867
994,ENSG00000136286
995,ENSG00000137802
996,ENSG00000136244
997,ENSG00000242265
998,ENSG00000197442
999,ENSG00000111863
1000,ENSG00000119698
1001,ENSG00000095951
1002,ENSG00000078814
1003,ENSG00000123200
1004,ENSG00000198838
1005,ENSG00000186832
1006,ENSG00000168298
1007,ENSG00000064607
1008,ENSG00000274290
1009,ENSG00000116809
1010,ENSG00000188822
1011,ENSG00000133121
1012,ENSG00000154040
1013,ENSG00000186088
1014,ENSG00000008196
1015,ENSG00000078401
1016,ENSG00000143552
1017,ENSG00000130775
1018,ENSG00000082074
1019,ENSG00000119640
1020,ENSG00000171219
1021,ENSG00000104885
1022,ENSG00000105821
1023,ENSG00000110047
1024,ENSG00000101144
1025,ENSG00000113070
1026,ENSG00000069399
1027,ENSG00000277075
1028,ENSG00000124575
1029,ENSG00000158406
1030,ENSG00000188910
1031,ENSG00000137877
1032,ENSG00000134757
1033,ENSG00000189433
1034,ENSG00000187513
1035,ENSG00000116691
1036,ENSG00000112137
1037,ENSG00000127666
1038,ENSG00000015475
1039,ENSG00000173805
1040,ENSG00000115289
1041,ENSG00000168795
1042,ENSG00000124762
1043,ENSG00000177283
1044,ENSG00000241106
1045,ENSG00000125726
1046,ENSG00000168826
1047,ENSG00000137817
1048,ENSG00000156587
1049,ENSG00000101004
1050,ENSG00000028277
1051,ENSG00000168062
1052,ENSG00000197837
1053,ENSG00000142675
1054,ENSG00000125735
1055,ENSG00000115221
1056,ENSG00000130589
1057,ENSG00000164588
1058,ENSG00000110583
1059,ENSG00000188786
1060,ENSG00000171517
1061,ENSG00000166750
1062,ENSG00000105479
1063,ENSG00000152784
1064,ENSG00000147437
1065,ENSG00000144045
1066,ENSG00000038219
1067,ENSG00000083067
1068,ENSG00000085465
1069,ENSG00000170345
1070,ENSG00000204209
1071,ENSG00000100425
1072,ENSG00000115919
1073,ENSG00000146278
1074,ENSG00000173114
1075,ENSG00000028137
1076,ENSG00000161996
1077,ENSG00000172818
1078,ENSG00000153898
1079,ENSG00000156427
1080,ENSG00000124201
1081,ENSG00000058453
1082,ENSG00000129566
1083,ENSG00000070601
1084,ENSG00000182087
1085,ENSG00000109920
1086,ENSG00000013573
1087,ENSG00000118503
1088,ENSG00000127914
1089,ENSG00000132424
1090,ENSG00000115325
1091,ENSG00000113504
1092,ENSG00000078403
1093,ENSG00000204574
1094,ENSG00000143442
1095,ENSG00000122877
1096,ENSG00000164877
1097,ENSG00000085741
1098,ENSG00000174358
1099,ENSG00000125730
1100,ENSG00000155313
1101,ENSG00000130368
1102,ENSG00000188064
1103,ENSG00000149289
1104,ENSG00000213906
1105,ENSG00000163362
1106,ENSG00000007545
1107,ENSG00000102003
1108,ENSG00000165494
1109,ENSG00000168137
1110,ENSG00000120049
1111,ENSG00000198796
1112,ENSG00000243156
1113,ENSG00000032219
1114,ENSG00000183696
1115,ENSG00000158062
1116,ENSG00000151623
1117,ENSG00000163132
1118,ENSG00000156232
1119,ENSG00000187479
1120,ENSG00000221963
1121,ENSG00000134884
1122,ENSG00000162746
1123,ENSG00000108509
1124,ENSG00000196220
1125,ENSG00000150637
1126,ENSG00000175985
1127,ENSG00000100647
1128,ENSG00000240720
1129,ENSG00000110455
1130,ENSG00000115008
1131,ENSG00000126759
1132,ENSG00000145901
1133,ENSG00000116350
1134,ENSG00000128159
1135,ENSG00000165312
1136,ENSG00000196876
1137,ENSG00000173917
1138,ENSG00000198517
1139,ENSG00000161647
1140,ENSG00000134160
1141,ENSG00000204569
1142,ENSG00000132002
1143,ENSG00000118946
1144,ENSG00000106701
1145,ENSG00000171815
1146,ENSG00000134744
1147,ENSG00000125538
1148,ENSG00000166924
1149,ENSG00000102524
1150,ENSG00000183091
1151,ENSG00000157557
1152,ENSG00000136732
1153,ENSG00000138802
1154,ENSG00000151883
1155,ENSG00000100650
1156,ENSG00000104899
1157,ENSG00000168495
1158,ENSG00000136560
1159,ENSG00000137221
1160,ENSG00000164400
1161,ENSG00000091656
1162,ENSG00000119508
1163,ENSG00000119720
1164,ENSG00000168310
1165,ENSG00000059378
1166,ENSG00000143067
1167,ENSG00000141026
1168,ENSG00000142867
1169,ENSG00000125378
1170,ENSG00000141622
1171,ENSG00000139192
1172,ENSG00000169609
